GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"java (3) (Mar. 25, 2020 1:34:37 p.m.)/commons-math-master/src/main/java",org.apache.commons.math4.stat.descriptive,SynchronizedSummaryStatistics,72,77,0,0,28,30,13,24,13,24
"java (3) (Mar. 25, 2020 1:34:37 p.m.)/commons-math-master/src/main/java",org.apache.commons.math4.stat.descriptive,AbstractStorelessUnivariateStatistic,7,118,3,17,1,26,3,14,0,7
"java (3) (Mar. 25, 2020 1:34:37 p.m.)/commons-math-master/src/main/java",org.apache.commons.math4.stat.descriptive,DescriptiveStatistics,89,856,2,26,18,154,3,63,1,51
"java (3) (Mar. 25, 2020 1:34:37 p.m.)/commons-math-master/src/main/java",org.apache.commons.math4.stat.descriptive,AggregateSummaryStatistics.AggregatingSummaryStatistics,36,22,8,0,8,7,6,2,2,2
"java (3) (Mar. 25, 2020 1:34:37 p.m.)/commons-math-master/src/main/java",org.apache.commons.math4.stat.descriptive,AggregateSummaryStatistics,75,272,9,15,15,59,14,15,5,12
"java (3) (Mar. 25, 2020 1:34:37 p.m.)/commons-math-master/src/main/java",org.apache.commons.math4.stat.descriptive,AbstractUnivariateStatistic,68,33,10,2,13,7,7,6,2,5
"java (3) (Mar. 25, 2020 1:34:37 p.m.)/commons-math-master/src/main/java",org.apache.commons.math4.stat.descriptive,StatisticalSummaryValues,0,225,5,11,0,45,5,14,0,11
"java (3) (Mar. 25, 2020 1:34:37 p.m.)/commons-math-master/src/main/java",org.apache.commons.math4.stat.descriptive,SynchronizedDescriptiveStatistics,9,73,0,0,4,27,2,14,2,14
"java (3) (Mar. 25, 2020 1:34:37 p.m.)/commons-math-master/src/main/java",org.apache.commons.math4.stat.descriptive,MultivariateSummaryStatistics,0,726,8,36,0,147,8,50,0,36
"java (3) (Mar. 25, 2020 1:34:37 p.m.)/commons-math-master/src/main/java",org.apache.commons.math4.stat.descriptive,SummaryStatistics,96,874,19,41,28,181,28,42,9,31
"java (3) (Mar. 25, 2020 1:34:37 p.m.)/commons-math-master/src/main/java",org.apache.commons.math4.stat.descriptive,SynchronizedMultivariateSummaryStatistics,0,104,0,0,0,41,0,31,0,31
"java (3) (Mar. 25, 2020 1:34:37 p.m.)/commons-math-master/src/main/java",org.apache.commons.math4.optim.nonlinear.scalar,MultivariateFunctionMappingAdapter.LowerBoundMapper,0,18,0,0,0,5,0,3,0,3
"java (3) (Mar. 25, 2020 1:34:37 p.m.)/commons-math-master/src/main/java",org.apache.commons.math4.optim.nonlinear.scalar,LeastSquaresConverter,25,175,3,15,3,36,3,10,0,4
