GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.keyvalue,DefaultKeyValue,4,110,5,19,1,24,5,16,0,9
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.keyvalue,UnmodifiableMapEntry,0,24,0,0,0,7,0,4,0,4
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,6,37,1,1,2,10,2,7,1,7
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.keyvalue,TiedMapEntry,4,105,5,17,1,21,5,13,0,7
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.keyvalue,DefaultMapEntry,0,19,0,0,0,6,0,3,0,3
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.keyvalue,AbstractMapEntry,0,70,1,19,0,13,1,13,0,4
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.keyvalue,MultiKey,3,329,2,18,1,66,2,28,0,20
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.keyvalue,AbstractKeyValue,0,44,0,0,0,17,0,6,0,6
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.splitmap,TransformedSplitMap,14,96,1,3,5,20,3,10,2,9
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,17,62,1,1,4,17,4,13,3,13
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.collection,CompositeCollection,46,396,1,59,12,93,6,50,5,21
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.collection,PredicatedCollection.Builder,22,148,1,5,6,35,3,14,2,12
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,24,81,4,8,6,22,6,14,2,12
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.collection,PredicatedCollection,0,91,0,6,0,17,0,10,0,7
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.collection,TransformedCollection,0,99,1,5,0,18,1,9,0,7
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.collection,SynchronizedCollection,0,239,1,5,0,46,1,23,0,21
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.collection,UnmodifiableCollection,0,49,0,2,0,14,0,11,0,10
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.collection,AbstractCollectionDecorator,3,85,0,0,2,22,1,18,1,18
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.collection,IndexedCollection,8,236,2,28,2,63,3,29,1,16
"java (1) (Mar. 25, 2020 1:16:21 p.m.)/commons-collections-master/src/main/java",org.apache.commons.collections4.comparators,FixedOrderComparator.UnknownObjectBehavior,0,34,0,0,0,2,0,1,0,1
