GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"java (6) (Mar. 28, 2020 3:50:29 p.m.)/commons-net-master/src/main/java",org.apache.commons.net.ftp,FTPClient.PropertiesSingleton,13,11,1,1,5,5,1,1,0,1
"java (6) (Mar. 28, 2020 3:50:29 p.m.)/commons-net-master/src/main/java",org.apache.commons.net.ftp,FTPFile,278,162,33,5,57,56,25,27,6,26
"java (6) (Mar. 28, 2020 3:50:29 p.m.)/commons-net-master/src/main/java",org.apache.commons.net.ftp,FTPSCommand,31,0,0,0,3,0,3,0,3,0
"java (6) (Mar. 28, 2020 3:50:29 p.m.)/commons-net-master/src/main/java",org.apache.commons.net.ftp,FTPClient,1656,632,216,62,434,180,231,51,108,35
"java (6) (Mar. 28, 2020 3:50:29 p.m.)/commons-net-master/src/main/java",org.apache.commons.net.ftp,FTPReply,32,28,16,8,3,3,13,5,3,3
"java (6) (Mar. 28, 2020 3:50:29 p.m.)/commons-net-master/src/main/java",org.apache.commons.net.ftp,FTPSClient,749,0,88,0,211,0,94,0,50,0
"java (6) (Mar. 28, 2020 3:50:29 p.m.)/commons-net-master/src/main/java",org.apache.commons.net.ftp,FTPSTrustManager,29,0,2,0,7,0,6,0,5,0
"java (6) (Mar. 28, 2020 3:50:29 p.m.)/commons-net-master/src/main/java",org.apache.commons.net.ftp,FTPFileFilters.new FTPFileFilter() {...},0,9,0,2,0,2,0,3,0,2
"java (6) (Mar. 28, 2020 3:50:29 p.m.)/commons-net-master/src/main/java",org.apache.commons.net.ftp,FTPCommand,20,171,1,1,3,9,2,2,1,2
"java (6) (Mar. 28, 2020 3:50:29 p.m.)/commons-net-master/src/main/java",org.apache.commons.net.ftp,FTPClient.NatServerResolverImpl,0,26,1,3,0,10,1,3,0,2
"java (6) (Mar. 28, 2020 3:50:29 p.m.)/commons-net-master/src/main/java",org.apache.commons.net.ftp,FTPListParseEngine,62,177,11,17,14,47,9,17,3,9
"java (6) (Mar. 28, 2020 3:50:29 p.m.)/commons-net-master/src/main/java",org.apache.commons.net.ftp,FTPFileEntryParserImpl,0,8,0,0,0,4,0,3,0,3
"java (6) (Mar. 28, 2020 3:50:29 p.m.)/commons-net-master/src/main/java",org.apache.commons.net.ftp,FTPFileFilters.new FTPFileFilter() {...},2,3,0,0,1,1,1,1,1,1
"java (6) (Mar. 28, 2020 3:50:29 p.m.)/commons-net-master/src/main/java",org.apache.commons.net.ftp,FTPClientConfig,87,377,1,9,22,93,5,27,4,23
"java (6) (Mar. 28, 2020 3:50:29 p.m.)/commons-net-master/src/main/java",org.apache.commons.net.ftp,FTPConnectionClosedException,7,0,0,0,4,0,2,0,2,0
